Date,Clicks,Impressions,CTR,Position
2026-03-26,1,54,1.85%,19.1
2026-03-27,1,27,3.7%,14.1
2026-03-28,4,50,8%,9.8
2026-03-29,3,87,3.45%,14.8
2026-03-30,4,117,3.42%,21
2026-03-31,1,113,0.88%,16.7
2026-04-01,6,372,1.61%,18.7
2026-04-02,4,594,0.67%,17.3
2026-04-03,2,549,0.36%,15.9
2026-04-04,6,600,1%,18.3
2026-04-05,2,528,0.38%,17
2026-04-06,2,674,0.3%,15.9
2026-04-07,6,825,0.73%,15.5
2026-04-08,4,710,0.56%,13.5
2026-04-09,3,650,0.46%,15.2
2026-04-10,7,658,1.06%,14.2
2026-04-11,4,810,0.49%,14.1
2026-04-12,20,1320,1.52%,13.2
2026-04-13,14,1259,1.11%,13.6
2026-04-14,9,1319,0.68%,10.9
2026-04-15,6,768,0.78%,10
2026-04-16,9,578,1.56%,11.1
2026-04-17,4,637,0.63%,11.8
2026-04-18,10,677,1.48%,8.4
2026-04-19,5,632,0.79%,9.4
2026-04-20,3,720,0.42%,11.5
2026-04-21,6,691,0.87%,9.7
2026-04-22,8,824,0.97%,10.4
2026-04-23,5,514,0.97%,12.6
2026-04-24,7,593,1.18%,15.3
2026-04-25,8,604,1.32%,10.3
2026-04-26,5,636,0.79%,9.8
2026-04-27,6,585,1.03%,14.7
2026-04-28,5,579,0.86%,15.1
2026-04-29,6,955,0.63%,10.3
2026-04-30,10,2434,0.41%,11.3
2026-05-01,20,2840,0.7%,12.7
